Name,ApplicationFrequency,ApplicationType
ACE inhibitors,Daily,Medication
Diet,With Meals,Lifestyle
Psychologist Visits,Weekly,Therapy
Antidepressants,Daily,Medication
Statins,Daily,Medication
Metformin,With Meals,Medication
Insulin,Daily,Medication
Pacemaker,Once,Surgery
Ablation,Once,Procedure
Prozac,Daily,Medication
Corticosteroids,Daily,Medication
Bisphosphonates,Monthly,Medication
Oxygen Therapy,Weekly,Procedure
Rest,Daily,Lifestyle
"amet, consectetuer",Weekly,Medication
venenatis,Weekly,Medication
pede,Weekly,Medication
dapibus ligula.,Weekly,Medication
interdum,Weekly,Medication
"elementum sem,",Weekly,Medication
porta,Weekly,Medication
felis ullamcorper,With Meals,Medication
"eu, odio.",With Meals,Medication
In lorem.,With Meals,Medication
facilisis,With Meals,Medication
Donec est,With Meals,Medication
"ornare,",With Meals,Medication
"et, eros.",With Meals,Medication
ipsum,With Meals,Medication
taciti sociosqu,With Meals,Medication
Curabitur,With Meals,Medication
"faucibus id,",With Meals,Medication
"vulputate,",With Meals,Medication
erat volutpat.,With Meals,Medication
mus.,With Meals,Medication
"cursus a,",With Meals,Medication
luctus,With Meals,Medication
sed,With Meals,Medication
mauris. Morbi,With Meals,Medication
nonummy.,Daily,Medication
risus.,Daily,Medication
"magna,",Daily,Medication
Morbi metus.,Daily,Medication
Pellentesque,Daily,Medication
vitae,Daily,Medication
"leo, in",Daily,Medication
Donec,Daily,Medication
lorem vitae,Daily,Therapy
est. Mauris,Daily,Therapy
lacinia,Daily,Therapy
"ac, eleifend",Weekly,Therapy
"rutrum non,",Weekly,Therapy
"ut, nulla.",Weekly,Therapy
Aenean gravida,Weekly,Therapy
lacinia. Sed,Once,Procedure
turpis,Once,Procedure
lacus,Weekly,Procedure
"vestibulum lorem,",Weekly,Procedure
adipiscing,Weekly,Procedure
In faucibus.,Weekly,Procedure
lacus,Weekly,Procedure
dolor. Quisque,Weekly,Procedure
scelerisque,Weekly,Procedure
"elit,",Once,Surgery
"laoreet,",Once,Surgery
"ac,",Once,Surgery
Mauris eu,Once,Surgery
cursus vestibulum.,Once,Surgery
Curabitur ut,Once,Surgery
habitant morbi,Once,Surgery
gravida,Once,Procedure
"vulputate, nisi",Daily,Medication
auctor,Daily,Medication
"leo, in",Daily,Medication
malesuada.,Daily,Medication
non nisi.,Daily,Medication
non magna.,Daily,Medication
egestas lacinia.,Daily,Medication
tincidunt aliquam,Daily,Medication
sem,Daily,Medication
Mauris molestie,Daily,Medication
"sodales at,",Daily,Medication
bibendum.,With Meals,Medication
nisi dictum,With Meals,Medication
semper.,With Meals,Medication
"adipiscing fringilla,",With Meals,Medication
ultrices posuere,Weekly,Medication
"eget,",Weekly,Medication
sit amet,Weekly,Medication
libero. Proin,Monthly,Procedure
in aliquet,Monthly,Procedure
fermentum arcu.,Monthly,Procedure
sem.,Monthly,Procedure
"pede,",Monthly,Procedure
Vivamus euismod,Monthly,Procedure
mauris. Suspendisse,Monthly,Procedure
hymenaeos. Mauris,Monthly,Procedure
semper,Monthly,Procedure
fringilla euismod,Monthly,Procedure
in,Monthly,Procedure
